applicants,n
Procter & Gamble,14
3 In 1 Dental Pllc,9
Amino Up Chemical Co Ltd,9
Capsulent,8
Senomyx Inc,8
Undoo Llc,7
Warren Raphael,6
Buchwald-Werner Sybille,5
Fujii Hajime,5
Halliburton Energy Services Inc,5
Hayashibara Co,5
Ionia Azure Ag,5
Alfa Biogene Internat B V,4
Colgate Palmolive Co,4
Univ Pretoria,4
Univ Washington State,4
Vital Solutions Swiss Ag,4
Alfa Biogene Int B V,3
Balwani Gul P,3
Chan Jody Wai-Han,3
