fields_of_study,n
Sclerocarya birrea,288
Biology,221
Agroforestry,106
Botany,104
Chemistry,94
Geography,93
Traditional medicine,92
Horticulture,88
Medicine,52
Food science,49
Ecology,48
Anacardiaceae,34
Population,30
Forestry,27
Antioxidant,27
Indigenous,26
Endocrinology,24
Acacia,22
Animal science,21
Biochemistry,21
